"id","title","description","availability","condition","price","link","image_link","brand"
"CBK-SHP-001","ชิโอะปัง-ออริจินัล — ShioPan Original / Charcoal","ชิโอะปัง-ออริจินัล เนื้อนุ่มหอมมันเนย เหมาะสำหรับทานเล่น หรือ ทานคู่กับเครื่องดื่ม","in stock","new","39.00 THB","https://candybaked.ogenicchocolate.com/products/original-shio-pan.html","https://candybaked.ogenicchocolate.com/assets/bakery/01-shio-pan.jpg","Candy Baked Factory"
"CBK-SHP-002","ชิโอะปังวิปครีมโอรีโอ — ShioPan - Oreo Whipped Cream","ชิโอะปังสอดไส้วิปครีมและคุกกี้โอรีโอ ให้สัมผัสครีมมี่และกรุบกรอบ","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/oreo-whipped-cream.html","https://candybaked.ogenicchocolate.com/assets/bakery/02-oreo-whipped-cream.jpg","Candy Baked Factory"
"CBK-SHP-003","ชิโอะปังวิปครีมสตรอว์เบอร์รี — ShioPan - Strawberry Whipped Cream","ชิโอะปังวิปครีมพร้อมสตรอว์เบอร์รี ให้รสหวานอมเปรี้ยวและสัมผัสสดชื่น","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/strawberry-whipped-cream.html","https://candybaked.ogenicchocolate.com/assets/bakery/03-strawberry-whipped-cream.jpg","Candy Baked Factory"
"CBK-SHP-004","ชิโอะปังนูเทลล่าสตรอว์เบอร์รีครัมเบิล — ShioPan - Nutella Strawberry Crumble","ชิโอะปังนูเทลล่า สตรอว์เบอร์รี และครัมเบิล รวมความเข้มข้น หวานอมเปรี้ยว และความกรุบในชิ้นเดียว","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/nutella-strawberry-crumble.html","https://candybaked.ogenicchocolate.com/assets/bakery/04-nutella-strawberry-crumble.jpg","Candy Baked Factory"
"CBK-SHP-005","ชิโอะปังบานอฟฟี่ — ShioPan - Banoffee","ชิโอะปังสไตล์บานอฟฟี่ จัดเต็มกล้วย วิปครีม และซอสคาราเมล","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/banoffee.html","https://candybaked.ogenicchocolate.com/assets/bakery/05-banoffee.jpg","Candy Baked Factory"
"CBK-SHP-006","ชิโอะปังคาราเมลกล้วยครัมเบิล — ShioPan - Caramel Banana Crumble","ชิโอะปังกล้วยคาราเมล โรยครัมเบิล เพิ่มกลิ่นหอมหวานและสัมผัสกรุบ","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/caramel-banana-crumble.html","https://candybaked.ogenicchocolate.com/assets/bakery/06-caramel-banana-crumble.jpg","Candy Baked Factory"
"CBK-SHP-007","ชิโอะปังนูเทลล่ากล้วยครัมเบิล — ShioPan - Nutella Banana Crumble","ชิโอะปังนูเทลล่ากับกล้วยและครัมเบิล รสเข้มข้นและมีเนื้อสัมผัสหลายชั้น","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/nutella-banana-crumble.html","https://candybaked.ogenicchocolate.com/assets/bakery/07-nutella-banana-crumble.jpg","Candy Baked Factory"
"CBK-SHP-008","ชิโอะปังวิปสตรอว์เบอร์รีครัมเบิล — ShioPan - Strawberry Whip Crumble","ชิโอะปังวิปครีม สตรอว์เบอร์รี และครัมเบิล หวานอมเปรี้ยวพร้อมความกรุบ","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/strawberry-whip-crumble.html","https://candybaked.ogenicchocolate.com/assets/bakery/08-strawberry-whip-crumble.jpg","Candy Baked Factory"
"CBK-SHP-009","ชิโอะปังวิปครีมบราวนี่ — ShioPan - Brownie Whipped Cream","ชิโอะปังวิปครีมพร้อมชิ้นบราวนี่ เหมาะสำหรับคนชอบรสช็อกโกแลตและครีมนุ่ม","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/brownie-whipped-cream.html","https://candybaked.ogenicchocolate.com/assets/bakery/09-brownie-whipped-cream.jpg","Candy Baked Factory"
"CBK-SHP-010","ชิโอะปังวิปครีมมาร์ชแมลโลว์ — ShioPan - Marshmallow Whipped Cream","ชิโอะปังวิปครีมและมาร์ชแมลโลว์ ให้สัมผัสนุ่มฟูและรสหวานละมุน","in stock","new","69.00 THB","https://candybaked.ogenicchocolate.com/products/marshmallow-whipped-cream.html","https://candybaked.ogenicchocolate.com/assets/bakery/10-marshmallow-whipped-cream.jpg","Candy Baked Factory"
